#,Name,Type,Height (ft),Height (m),Weight (lbs),Weight (kgs),BMI
1,Bulbasaur,"Grass
 Poison",204,0.7,15.2,6.9,14.1
2,Ivysaur,"Grass
 Poison",303,1,28.7,13,13
3,Venusaur,"Grass
 Poison",607,2,220.5,100,25
3,"Venusaur
 Mega Venusaur","Grass
 Poison",710,2.4,342.8,155.5,27
4,Charmander,Fire,200,0.6,18.7,8.5,23.6
5,Charmeleon,Fire,307,1.1,41.9,19,15.7
6,Charizard,"Fire
 Flying",507,1.7,199.5,90.5,31.3
6,"Charizard
 Mega Charizard X","Fire
 Dragon",507,1.7,243.6,110.5,38.2
6,"Charizard
 Mega Charizard Y","Fire
 Flying",507,1.7,221.6,100.5,34.8
7,Squirtle,Water,108,0.5,19.8,9,36
8,Wartortle,Water,303,1,49.6,22.5,22.5
9,Blastoise,Water,503,1.6,188.5,85.5,33.4
9,"Blastoise
 Mega Blastoise",Water,503,1.6,222.9,101.1,39.5
10,Caterpie,Bug,100,0.3,6.4,2.9,32.2
11,Metapod,Bug,204,0.7,21.8,9.9,20.2
12,Butterfree,"Bug
 Flying",307,1.1,70.5,32,26.4
13,Weedle,"Bug
 Poison",100,0.3,7.1,3.2,35.6
14,Kakuna,"Bug
 Poison",200,0.6,22,10,27.8
15,Beedrill,"Bug
 Poison",303,1,65,29.5,29.5
15,"Beedrill
 Mega Beedrill","Bug
 Poison",407,1.4,89.3,40.5,20.7
16,Pidgey,"Normal
 Flying",100,0.3,4,1.8,20
17,Pidgeotto,"Normal
 Flying",307,1.1,66.1,30,24.8
18,Pidgeot,"Normal
 Flying",411,1.5,87.1,39.5,17.6
18,"Pidgeot
 Mega Pidgeot","Normal
 Flying",703,2.2,111.3,50.5,10.4
19,Rattata,Normal,100,0.3,7.7,3.5,38.9
19,"Rattata
 Alolan Rattata","Dark
 Normal",100,0.3,8.4,3.8,42.2
20,Raticate,Normal,204,0.7,40.8,18.5,37.8
20,"Raticate
 Alolan Raticate","Dark
 Normal",204,0.7,56.2,25.5,52
21,Spearow,"Normal
 Flying",100,0.3,4.4,2,22.2
22,Fearow,"Normal
 Flying",311,1.2,83.8,38,26.4
23,Ekans,Poison,607,2,15.2,6.9,1.7
24,Arbok,Poison,1106,3.5,143.3,65,5.3
25,Pikachu,Electric,104,0.4,13.2,6,37.5
25,"Pikachu
 Partner Pikachu",Electric,104,0.4,13.2,6,37.5
26,Raichu,Electric,207,0.8,66.1,30,46.9
26,"Raichu
 Alolan Raichu","Electric
 Psychic",204,0.7,46.3,21,42.9
27,Sandshrew,Ground,200,0.6,26.5,12,33.3
27,"Sandshrew
 Alolan Sandshrew","Ice
 Steel",204,0.7,88.2,40,81.6
28,Sandslash,Ground,303,1,65,29.5,29.5
28,"Sandslash
 Alolan Sandslash","Ice
 Steel",311,1.2,121.3,55,38.2
29,Nidoran F,Poison,104,0.4,15.4,7,43.8
30,Nidorina,Poison,207,0.8,44.1,20,31.3
31,Nidoqueen,"Poison
 Ground",403,1.3,132.3,60,35.5
32,Nidoran M,Poison,108,0.5,19.8,9,36
33,Nidorino,Poison,211,0.9,43,19.5,24.1
34,Nidoking,"Poison
 Ground",407,1.4,136.7,62,31.6
35,Clefairy,Fairy,200,0.6,16.5,7.5,20.8
36,Clefable,Fairy,403,1.3,88.2,40,23.7
37,Vulpix,Fire,200,0.6,21.8,9.9,27.5
37,"Vulpix
 Alolan Vulpix",Ice,200,0.6,21.8,9.9,27.5
38,Ninetales,Fire,307,1.1,43.9,19.9,16.4
38,"Ninetales
 Alolan Ninetales","Ice
 Fairy",307,1.1,43.9,19.9,16.4
39,Jigglypuff,"Normal
 Fairy",108,0.5,12.1,5.5,22
40,Wigglytuff,"Normal
 Fairy",303,1,26.5,12,12
41,Zubat,"Poison
 Flying",207,0.8,16.5,7.5,11.7
42,Golbat,"Poison
 Flying",503,1.6,121.3,55,21.5
43,Oddish,"Grass
 Poison",108,0.5,11.9,5.4,21.6
44,Gloom,"Grass
 Poison",207,0.8,19,8.6,13.4
45,Vileplume,"Grass
 Poison",311,1.2,41,18.6,12.9
